brand,model,processor_brand,processor_Name,processor_gnrtn,ram_gb,Apps,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,Price
HP,Pavilion,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,67500
ASUS,TUF,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,6,Casual,15.6,1,No,Yes,82990
ASUS,VivoBook,AMD,Core i3,Missing,8,DDR4,256,1024,Windows,32,0,Casual,15.6,1,No,Yes,54990
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,85990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,42990
Lenovo,Legion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,99990
ASUS,ASUS,Intel,Core i3,11th,8,DDR4,1024,0,Windows,64,4,Gaming,15.6,0,No,No,98990
ASUS,ROG,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,71990
ASUS,ASUS,Intel,Core i3,Missing,8,DDR4,256,0,Windows,64,0,Casual,13.3,1,Yes,No,62990
DELL,Vostro,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,Yes,64190
HP,Ryzen,AMD,Core i3,Missing,8,DDR4,512,0,Windows,32,0,Casual,15.6,0,No,No,48990
ASUS,VivoBook,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,Casual,14,1,Yes,Yes,62450
DELL,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,70090
acer,Aspire,Intel,Core i3,11th,8,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,No,49990
lenovo,Yoga,Intel,Core i3,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,102990
ASUS,Ryzen,AMD,Core i3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,33690
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,ThinNlight,14,1,No,Yes,42990
acer,Travelmate,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14,0,No,No,40990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,64990
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,No,49990
realme,Book(Slim),Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,60999
HP,15s,AMD,Core i5,Missing,8,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,39490
ASUS,Core,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,2,ThinNlight,15.6,1,No,No,49990
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,1,No,Yes,59990
HP,Ryzen,AMD,Core i5,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,41490
APPLE,MacBook,Apple,Core i5,Missing,8,DDR4,1024,0,Mac,64,0,Casual,13.3,1,No,No,149990
APPLE,MacBook,Apple,Core i5,Missing,8,DDR4,1024,0,Mac,64,0,Casual,13.3,1,No,No,169990
DELL,Inspiron,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,Yes,41990
acer,Predator,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,No,169990
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,2,Casual,15.6,1,No,Yes,60190
MSI,Core,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,40990
MSI,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,55490
DELL,Vostro,AMD,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,44490
HP,Spectre,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,13.3,0,Yes,No,97990
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14.1,1,No,Yes,41990
Lenovo,IdeaPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,Yes,No,54990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,0,No,No,42190
acer,Predator,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,139990
ASUS,ROG,AMD,Core i5,Missing,8,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,Yes,199990
DELL,Vostro,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,Yes,39490
Lenovo,Ideapad,AMD,Core i5,Missing,8,DDR4,0,0,Windows,64,0,Casual,0,0,No,No,19590
ASUS,APU,AMD,Core i5,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,19990
APPLE,MacBook,Apple,Core i5,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,128990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,44990
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,41250
HP,Pentium,Intel,Core i5,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,32990
APPLE,2021,Apple,Core i5,Missing,8,DDR4,1024,0,Mac,64,0,Casual,14.2,1,No,No,225990
HP,Core,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,44990
APPLE,2021,Apple,Core i5,Missing,8,DDR4,512,0,Mac,64,0,Casual,14.2,1,No,No,184990
ASUS,Vivobook,Intel,Core i5,9th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,54990
APPLE,2021,Apple,Core i5,Missing,8,DDR4,1024,0,Mac,64,0,Casual,16.2,1,No,No,243990
APPLE,2021,Apple,Core i5,Missing,8,DDR4,512,0,Mac,64,0,Casual,16.2,1,No,No,225990
Lenovo,Thinkbook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15,1,No,Yes,59990
DELL,Vostro,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,41490
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,0,No,No,41990
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990
